Date,Period,Demand(MW),TCL(MW),USEP($/MWh),EHEUR($/MWh),LCP($/MWh),Regulation($/MWh),Primary($/MWh),Secondary($/MWh),Contingency($/MWh),Last Updated
27-Jun-21,12:00-12:30,6028.774,0,90.39,-0.38,0,1,0.07,-,0.99,28/6/2021 9:31
27-Jun-21,12:30-13:00,6048.137,0,91.85,-0.38,0,1,0.07,-,0.99,28/6/2021 9:31
27-Jun-21,13:00-13:30,6054.061,0,99.65,-0.37,0,1.2,0.07,-,1,28/6/2021 9:31
27-Jun-21,13:30-14:00,6085.556,0,90.39,-0.38,0,1.28,0.07,-,1.06,28/6/2021 9:31
27-Jun-21,14:00-14:30,6115.868,0,89.68,-0.38,0,1.2,0.07,-,1.02,28/6/2021 9:31
27-Jun-21,14:30-15:00,6122.28,0,89.69,-0.38,0,1.12,0.07,-,1.06,28/6/2021 9:31
27-Jun-21,15:00-15:30,6118.229,0,89.66,-0.37,0,1.06,0.07,-,1.06,28/6/2021 9:31
27-Jun-21,15:30-16:00,6081.158,0,89.68,-0.38,0,1.1,0.07,-,1.1,28/6/2021 9:31
27-Jun-21,16:00-16:30,6051.467,0,89.66,-0.38,0,1.04,0.14,-,1.04,28/6/2021 9:31
27-Jun-21,16:30-17:00,6044.101,0,89.65,-0.38,0,1.2,0.14,-,1.2,28/6/2021 9:31
27-Jun-21,17:00-17:30,6052.764,0,89.66,-0.38,0,1.2,0.14,-,1.2,28/6/2021 9:31
27-Jun-21,17:30-18:00,6055.612,0,89.67,-0.38,0,1.28,0.14,-,1.2,28/6/2021 9:31
27-Jun-21,18:00-18:30,6109.909,0,89.59,-0.39,0,8,0.14,-,1.33,28/6/2021 9:31
27-Jun-21,18:30-19:00,6201.278,0,89.71,-0.39,0,3.83,0.14,-,1.33,28/6/2021 9:31
27-Jun-21,19:00-19:30,6295.926,0,89.82,-0.39,0,2.5,0.5,-,2,28/6/2021 9:31
27-Jun-21,19:30-20:00,6328.013,0,90.39,-0.39,0,2.5,0.5,-,2,28/6/2021 9:31
27-Jun-21,20:00-20:30,6361.183,0,90.39,-0.38,0,1.74,0.5,-,1.74,28/6/2021 9:31
27-Jun-21,20:30-21:00,6388.095,0,91.85,-0.4,0,1.73,0.14,-,1.73,28/6/2021 9:31
27-Jun-21,21:00-21:30,6369.105,0,99.65,-0.43,0,7.84,0.07,-,7.84,28/6/2021 9:31
27-Jun-21,21:30-22:00,6281.578,0,90.39,-0.39,0,1.2,0.07,-,1.33,28/6/2021 9:31
